age,height,sex,days_to_goal,activity_level,experience,Exercise
38,177,female,41,1,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
23,159,male,166,2,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
39,150,male,45,1,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
32,157,female,75,5,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
28,187,female,74,4,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,172,male,176,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,155,male,50,2,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
57,177,female,105,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
52,168,male,64,5,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
37,158,male,78,5,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
19,183,male,117,3,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
50,165,female,80,1,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
45,156,female,37,2,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
35,173,male,147,3,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
56,161,male,177,1,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
18,154,female,104,1,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
47,174,male,138,3,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
36,175,female,80,4,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
43,181,male,169,5,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
26,176,female,99,2,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
37,153,female,67,1,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
29,184,female,48,5,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
46,176,female,104,5,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
27,179,male,37,3,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,165,female,57,4,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
18,161,female,159,4,4,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
45,181,female,116,5,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
22,177,male,178,5,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
31,179,male,78,3,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
51,186,male,73,4,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
43,159,male,85,5,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
52,186,male,74,2,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
19,158,male,131,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
20,178,female,143,4,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
45,161,female,151,3,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
43,150,female,137,4,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
23,181,male,96,4,5,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
19,184,male,142,3,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
22,154,female,116,1,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
36,163,male,69,3,3,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
50,156,male,151,4,2,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
56,169,male,53,2,1,"Squats, Lat Pulldowns, Hammer Curls, Bicep Curls, 4 sets (12-10-8-6 reps)"
40,185,female,55,3,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
41,154,female,160,1,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
29,189,female,37,1,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
44,182,male,101,1,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
19,158,female,61,4,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
21,184,female,168,3,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
41,177,female,44,4,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
54,179,male,120,1,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
45,186,female,59,4,4,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
45,172,male,112,2,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
23,170,male,94,1,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
33,187,male,44,1,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
45,163,male,156,5,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
52,157,female,142,1,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
40,160,male,82,3,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
29,155,male,133,3,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
27,177,male,34,2,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
34,154,male,127,5,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
40,160,female,142,5,4,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
34,164,female,156,4,4,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
36,173,female,42,5,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
25,174,male,84,3,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
28,163,male,110,2,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
23,157,female,169,1,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
38,167,male,170,3,4,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
51,171,male,47,3,4,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
47,173,male,75,1,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
25,186,male,167,4,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
52,172,male,151,5,5,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
56,167,female,165,4,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
19,162,male,53,3,3,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
53,159,male,130,3,2,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
44,175,female,114,4,1,"Calf Raises, Push-Ups, Squats, Leg Curls, 3 sets (10-8-6 reps)"
28,175,female,142,2,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
39,167,female,70,3,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
46,177,male,155,3,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
34,181,female,105,3,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
44,157,female,95,4,3,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
45,156,male,117,4,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
50,161,male,59,3,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
28,183,male,77,4,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
36,184,female,113,3,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
58,186,female,70,1,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
39,157,female,74,2,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
47,174,female,30,3,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
38,181,male,74,3,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
59,183,male,68,4,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
43,162,male,110,5,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
45,160,female,142,1,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
27,183,female,152,5,3,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
40,156,female,146,1,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
42,169,male,96,3,3,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
42,161,male,143,2,3,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
25,178,female,171,5,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
45,156,female,174,1,3,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
44,171,female,37,3,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
45,181,female,150,4,2,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
48,156,female,130,1,4,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
49,157,male,129,5,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
19,170,female,147,5,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
32,181,male,42,5,4,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
53,169,male,55,1,4,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
45,155,male,124,1,4,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
39,178,female,91,4,3,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
42,172,male,35,5,4,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
26,164,female,70,5,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
57,172,female,127,1,4,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
41,159,male,130,4,1,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
22,183,female,152,4,5,"Arnold Press, Leg Extensions, Side Planks, 4 sets (12-10-8-6 reps)"
28,176,male,95,1,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
53,169,male,73,3,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
50,162,male,103,1,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
33,185,male,76,3,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
43,160,female,45,3,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
50,163,female,168,5,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
57,153,male,154,5,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
25,160,female,48,3,5,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
35,179,female,155,1,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
44,164,female,101,4,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
36,175,male,113,2,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
48,179,male,31,5,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
49,172,female,31,1,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
30,181,male,50,1,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
22,153,male,76,2,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
22,152,male,58,5,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
49,167,female,114,1,5,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
58,186,female,101,5,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
53,176,male,143,5,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
36,171,female,96,1,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
52,183,male,66,4,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
43,174,male,95,5,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
30,164,male,68,5,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
33,180,female,148,1,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
42,182,female,172,5,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
48,167,female,166,1,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
36,186,female,74,2,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
38,180,male,33,4,5,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
31,159,male,104,1,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
18,177,female,54,1,5,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
32,161,female,112,3,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
24,175,female,55,2,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
43,188,female,115,4,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
21,165,male,122,3,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
47,182,male,33,2,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
53,155,male,109,5,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
43,167,female,103,1,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
22,162,male,65,5,3,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
36,150,female,84,5,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
37,173,female,120,3,4,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
41,177,female,30,2,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
39,165,female,97,1,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
50,173,female,164,1,2,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
22,185,female,105,2,1,"Pull-Ups, Leg Press, Calf Raises, Rows, 4 sets (12-10-8-6 reps)"
57,160,female,126,2,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
41,157,female,152,1,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
20,154,female,133,2,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
58,175,male,177,5,1,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
39,153,male,176,2,4,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
56,154,female,148,5,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
41,154,female,93,3,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
39,185,female,37,5,1,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
52,174,male,114,4,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
42,152,male,136,3,3,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
52,161,male,66,2,3,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
44,175,female,138,2,3,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
52,162,male,52,1,1,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
25,173,female,94,4,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
19,166,female,158,3,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
52,189,male,104,3,3,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
52,180,female,172,3,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
54,159,female,101,1,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
31,175,male,155,3,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
27,188,male,157,2,1,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
36,177,female,32,2,4,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
18,157,male,82,2,4,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
38,179,female,60,5,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
42,160,male,42,5,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
25,155,male,37,2,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
28,187,female,84,5,4,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
51,178,female,125,2,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
54,163,female,90,5,3,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
51,166,male,168,4,2,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
47,175,female,86,5,5,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
50,176,female,90,2,4,"Leg Extensions, Planks, Overhead Press, Lat Pulldowns, 3 sets (10-8-6 reps)"
41,159,male,71,1,5,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
42,189,female,138,1,1,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
58,178,male,104,4,5,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
24,165,male,157,1,5,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
32,184,male,75,2,4,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
59,163,male,113,1,2,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
42,170,female,139,1,2,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
55,186,female,130,1,3,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
50,166,female,105,1,1,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
56,175,female,33,1,1,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
52,184,male,135,5,3,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
40,164,male,160,4,5,"Leg Curls, Dumbbell Rows, Seated Rows, 4 sets (12-10-8-6 reps)"
